"sezioni";"codici";"titoli_corti";"titoli";"l"
"N";"80";"Serv. di investigazione e vigilanza";"Servizi di investigazione e vigilanza";2
"N";"81";"Att. di serv. per edif. e per paesaggio";"Attività di servizi per edifici e per paesaggio";2
"N";"82";"Att. amm. e di supporto";"Attività amministrative e di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese";2
"O";"84";"Amm. pubbl. e difesa; assic. soc. obbli.";"Amministrazione pubblica e difesa; assicurazione sociale obbligatoria";2
"P";"85";"Istruzione";"Istruzione";2
"Q";"86";"Att. dei servizi sanitari";"Attività dei servizi sanitari";2
"Q";"87";"Serv. di assistenza residenziale";"Servizi di assistenza residenziale";2
"Q";"88";"Assist. sociale non residenziale";"Assistenza sociale non residenziale";2
"R";"90";"Att. creative, artistiche e di intratt.";"Attività creative, artistiche e d'intrattenimento";2
"R";"91";"Att. di biblioteche, archivi, musei";"Attività di biblioteche, archivi, musei e altre attività culturali";2
"R";"92";"Att. riguardanti scommesse";"Attività riguardanti scommesse e case da gioco";2
"R";"93";"Att. sportive, di intrattenimento";"Attività sportive, di intrattenimento e di divertimento";2
"S";"94";"Att. di organ. associative";"Attività di organizzazioni associative";2
"S";"95";"Ripar. di computer, e beni per uso pers.";"Riparazione di computer e di beni per uso personale e per la casa";2
"S";"96";"Altre att. di servizi personali";"Altre attività di servizi personali";2
"T";"97";"Att. di fam. e conv. come datori di lav.";"Attività di famiglie e convivenze come datori di lavoro per personale domestico";2
"T";"98";"Prod. di beni e di serv. indifferenziati";"Produzione di beni e di servizi indifferenziati per uso proprio da parte di famiglie e convivenze";2
"U";"99";"Att. di organ. e organismi extraterr.";"Attività di organizzazioni e organismi extraterritoriali";2
